Fecha,Total
20-12-2016,97
21-12-2016,118
22-12-2016,98
23-12-2016,109
24-12-2016,82
25-12-2016,42
26-12-2016,72
27-12-2016,112
28-12-2016,92
29-12-2016,91
30-12-2016,82
31-12-2016,53
